Cs Rydberg State (n), Distance (um), Rb-Cs Energy Shift (GHz), Na-Cs Energy Shift (GHz), Rb-Rb Energy Shift (GHz), Na-Na Energy Shift (GHz), Cs-Cs Energy Shift (GHz)
57, 13, 0.0002891553478872301, 0.00020262436904452583, 1.0137118073124406e-05, 2.27800474804111e-05, 1.1280897738398443e-05
57, 14, 0.00018553363300518049, 0.00012989785618242207, 6.5019942391611765e-06, 1.4606809098442788e-05, 7.23522425269908e-06
58, 5, 0.05846647216622733, 0.07500562195881906, 0.003882400261082175, 0.008652835012403487, 0.004294424075204259
58, 6, 0.02712067170355022, 0.025459092168563156, 0.0013010069040962171, 0.00290822613234137, 0.001440496112524275
58, 7, 0.012335827013788393, 0.010131670923302334, 0.0005160412667243409, 0.0011545860299929788, 0.0005715404157538617
58, 8, 0.005866171425495166, 0.004552391618356006, 0.00023161797268442385, 0.0005183848661352505, 0.0002565553621449398
58, 9, 0.0029687136554837922, 0.0022466233059697236, 0.00011425847389465562, 0.00025575095334815347, 0.00012656537837870682
58, 10, 0.0015968720856969264, 0.0011942052176668425, 6.072709084160367e-05, 0.0001359314352571453, 6.726894739185291e-05
58, 11, 0.0009068789536191569, 0.0006741720681765887, 3.428342893962102e-05, 7.673695359027694e-05, 3.797654437804043e-05
58, 12, 0.0005397850442194589, 0.00040000690779014585, 2.034422481072934e-05, 4.55323930998566e-05, 2.25354489659997e-05
58, 13, 0.0003345302094933656, 0.0002474655212841381, 1.258927984009794e-05, 2.817159013788571e-05, 1.394486947146024e-05
58, 14, 0.00021467975771737456, 0.00015864415415919606, 8.073955852945198e-06, 1.806310155660262e-05, 8.942972967877812e-06
59, 5, 0.06283198717489638, -0.062241993423084736, 0.004800736643267902, 0.005646575778880354, 0.005284354944438859
59, 6, 0.03029658039477204, -0.028417597635318065, 0.001609142315426732, 0.0018949530630023826, 0.0017734564358618937
59, 7, 0.014066585468465887, -0.01323921277431294, 0.0006383092637677996, 0.0007519616357688532, 0.0007037563218486065
59, 8, 0.006753187652985733, -0.006428513927673548, 0.00028650281728882917, 0.00033755975809829543, 0.00031592159235769587
